Target ,East 1,North 1,Height 1,XY_Amber,XY_Red,Z _settlementt_Amber,Z_Settlement_Red,Z_heave_Amber,Z_Heave_Red
B1.91,528860.095,179187.497,12.097,5,15,-5,-12,5,8
B1.92,528856.394,179189.663,12.089,5,15,-5,-12,5,8
B1.93,528852.491,179191.919,12.092,5,15,-5,-12,5,8
B1.94,528839.587,179199.495,14.797,5,15,-5,-12,5,8
B1.95,528807.682,179218.045,12.395,5,15,-5,-12,5,8
NO1.1,528811.535,179215.789,12.307,5,15,-5,-12,5,8
NO1.2,528845.562,179195.925,11.003,5,15,-5,-12,5,8
B7,528806.916,179228.122,13.048,5,15,-5,-12,5,8
B27.1,528831.171,179204.384,11.066,5,15,-5,-12,5,8
SH011,528872.213,179199.171,7.895,5,15,-5,-12,5,8
B1.1,528867.751,179189.493,11.216,5,15,-5,-12,5,8
B3.2,528853.925,179191.084,19.32,15,22,-5,-12,5,8
B3.9,528858.015,179188.722,19.327,15,22,-5,-12,5,8
B3.91,528861.598,179186.679,19.012,15,22,-5,-12,5,8
B3.95,528812.917,179215.053,19.459,15,22,-5,-12,5,8
B27.3,528822.242,179209.891,17.455,15,22,-5,-12,5,8
NO3.1,528811.692,179215.722,19.167,15,22,-5,-12,5,8
NO3.2,528845.275,179196.113,16.457,15,22,-5,-12,5,8
B2,528869.154,179191.747,20.575,15,22,-5,-12,5,8
B8,528807.342,179229.032,21.361,15,22,-5,-12,5,8
B5.91X,528862.901,179185.872,25.98,15,22,-5,-12,5,8
B5.92,528854.943,179190.533,26.319,15,22,-5,-12,5,8
B5.95,528807.278,179218.311,26.983,15,22,-5,-12,5,8
B5.99,528821.44,179210.437,26.454,15,22,-5,-12,5,8
NO5.1,528810.225,179216.612,26.016,15,22,-5,-12,5,8
NO5.2,528840.088,179199.188,26.129,15,22,-5,-12,5,8
H14 ,528865.116,179185.022,26.548,15,22,-5,-12,5,8
B9,528807.125,179227.579,24.772,15,22,-5,-12,5,8
SO1.1,528800.756,179213.288,12.379,5,15,-5,-12,5,8
SO1.11,528804.422,179210.632,12.565,5,15,-5,-12,5,8
SO1.2,528809.732,179207.54,12.481,5,15,-5,-12,5,8
SO1.22,528816.018,179204.435,12.479,5,15,-5,-12,5,8
SO1.3,528821.247,179201.369,12.528,5,15,-5,-12,5,8
SO1.4,528841.081,179189.803,12.671,5,15,-5,-12,5,8
SO1.5,528851.521,179183.739,12.611,5,15,-5,-12,5,8
SO1.6,528865.484,179175.648,12.424,5,15,-5,-12,5,8
SO3.1N,528799.645,179214.011,18.799,15,22,-5,-12,5,8
